date,steps
2023-06-21,1962
2023-06-22,1110
2023-06-23,515
2023-06-24,4667
2023-06-25,10107
2023-06-26,2740
2023-06-27,2892
2023-06-28,3908
2023-06-29,4355
2023-06-30,4088
2023-07-01,3096
2023-07-02,6291
2023-07-03,1618
2023-07-04,3199
2023-07-05,3797
2023-07-06,9214
2023-07-07,2955
2023-07-08,9352
2023-07-09,2085
2023-07-10,4891
2023-07-11,6856
2023-07-12,9372
2023-07-13,5707
2023-07-14,5217
2023-07-15,5960
2023-07-16,2472
2023-07-17,3576
2023-07-18,2766
2023-07-19,3759
2023-07-20,5959
2023-07-21,3902
2023-07-22,4948
2023-07-23,5018
2023-07-24,5664
2023-07-25,2051
2023-07-26,6476
2023-07-27,4860
2023-07-28,9668
2023-07-29,4007
2023-07-30,15978
2023-07-31,5427
2023-08-01,3813
2023-08-02,2797
2023-08-03,1060
2023-08-04,3403
2023-08-05,10702
2023-08-06,3972
2023-08-07,4209
2023-08-08,4556
2023-08-09,8585
2023-08-10,3377
2023-08-11,763
2023-08-12,10934
2023-08-13,577
2023-08-23,4363
2023-08-24,7185
2023-08-25,5246
2023-08-26,7521
2023-08-27,5002
2023-08-28,7465
2023-08-29,9342
2023-08-30,916
2023-08-31,2720
2023-09-01,2429
2023-09-02,5409
2023-09-03,4721
2023-09-04,7137
2023-09-05,8621
2023-09-06,14618
2023-09-07,8857
2023-09-08,10323
2023-09-09,15100
2023-09-10,12039
2023-09-11,12351
2023-09-12,7949
2023-09-13,6778
2023-09-14,16963
2023-09-15,11902
2023-09-16,12890
2023-09-17,9239
2023-09-18,7278
2023-09-19,8903
2023-09-20,4631
2023-09-21,13889
2023-09-22,21820
2023-09-23,11716
2023-09-24,5461
2023-09-25,5424
2023-09-26,6203
2023-09-27,8064
2023-09-28,11348
2023-09-29,5876
2023-09-30,14319
2023-10-01,7095
2023-10-02,6068
2023-10-03,7774
2023-10-04,8258
2023-10-05,12671
2023-10-06,6852
2023-10-07,13027
